Panelist ID,Application ID,Score
57,9129,67
50,9129,83
100,9129,77
118,9140,90
58,9140,78
169,9140,69
86,9195,64
58,9195,74
57,9195,71
128,9264,71
158,9264,73
86,9264,63
100,9323,80
50,9323,77
86,9323,74
158,9330,68
128,9330,54
170,9330,69
100,9430,77
50,9430,76
64,9430,73
131,9645,69
50,9645,78
58,9645,79
86,9960,75
170,9960,82
169,9960,75
158,9970,68
57,9970,73
131,9970,71
100,10197,82
131,10197,65
86,10197,59
158,10206,82
86,10206,78
64,10206,83
100,10214,75
67,10214,46
50,10214,80
158,10339,69
86,10339,61
64,10339,74
50,10395,86
100,10395,85
86,10395,72
57,10499,85
50,10499,84
158,10499,77
57,10689,79
86,10689,70
50,10689,88
33,10695,80
67,10695,59
170,10695,81
131,10718,65
158,10718,64
169,10718,58
158,10787,73
128,10787,71
169,10787,74
50,10820,84
33,10820,87
100,10820,88
118,10935,76
100,10935,71
33,10935,59
50,10995,88
169,10995,70
170,10995,77
50,11122,91
33,11122,86
100,11122,84
158,11172,80
86,11172,74
118,11172,81
50,11192,85
131,11192,80
158,11192,72
128,11273,75
86,11273,71
169,11273,67
57,11314,90
158,11314,80
128,11314,77
128,11419,82
158,11419,70
100,11419,81
131,11447,68
158,11447,77
33,11447,73
100,11491,86
118,11491,81
64,11491,75
131,11967,68
118,11967,73
100,11967,83
57,12004,71
131,12004,71
86,12004,70
50,12429,97
57,12429,94
131,12429,85
58,12432,78
118,12432,85
33,12432,80
128,12462,78
57,12462,89
50,12462,87
158,12476,59
86,12476,69
64,12476,68
50,12528,71
118,12528,84
100,12528,84
50,12666,99
100,12666,86
118,12666,88
